Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2020-02-16,0.0646621564,0.0710541148,0.0714902412,0.0623849608
ADA,2020-02-17,0.0612562203,0.0646622171,0.0671465736,0.0567036811
ADA,2020-02-18,0.058903138,0.0615351891,0.0627489292,0.0558130778
ADA,2020-02-19,0.0631596912,0.0589033566,0.0638833838,0.0579226718
ADA,2020-02-20,0.0592895149,0.0631696875,0.063438529,0.0567134256
ADA,2020-02-21,0.05857488,0.0574060499,0.0590248465,0.0553350453
ADA,2020-02-22,0.0580963544,0.0585737213,0.0601375896,0.0575609874
ADA,2020-02-23,0.0585016659,0.0586487918,0.0591418624,0.0570650632
ADA,2020-02-24,0.0613803033,0.0585001017,0.0621570998,0.0580806607
ADA,2020-02-25,0.0588409122,0.0613806098,0.0619427724,0.0573512934
ADA,2020-02-26,0.0570580635,0.0588400616,0.0591738335,0.0558373929
ADA,2020-02-27,0.0494373055,0.0570577097,0.0570622311,0.0464647628
ADA,2020-02-28,0.0499746603,0.0494355816,0.0522020872,0.0462243288
ADA,2020-02-29,0.0494737982,0.0498366761,0.0513191653,0.046589319
ADA,2020-03-01,0.0479378492,0.0494723016,0.0500366887,0.0475733408
ADA,2020-03-02,0.0458883614,0.0479383715,0.048305087,0.0450148566
ADA,2020-03-03,0.0491467109,0.0458868119,0.0498159528,0.0454104398
ADA,2020-03-04,0.0489060442,0.0492738717,0.0494659727,0.0474624543
ADA,2020-03-05,0.0488115591,0.0489064805,0.0503703805,0.0480315988
ADA,2020-03-06,0.0511314277,0.0488129702,0.0523830494,0.0487350649
ADA,2020-03-07,0.051167725,0.0510588532,0.051797905,0.0500925387
ADA,2020-03-08,0.0492929035,0.0511661958,0.0519920328,0.0482576516
ADA,2020-03-09,0.0433360354,0.0492948446,0.0493385996,0.0429327759
ADA,2020-03-10,0.0409766539,0.0433360254,0.0442141919,0.0389269689
ADA,2020-03-11,0.0417138269,0.0415951116,0.0430644165,0.0403696123
ADA,2020-03-12,0.0396535112,0.0417151873,0.0417942079,0.0372957979
ADA,2020-03-13,0.0279791942,0.0396761117,0.0398838212,0.0269400919
ADA,2020-03-14,0.0289510948,0.0279766777,0.0296472552,0.0181377824
ADA,2020-03-15,0.0262773982,0.0289248875,0.02964364,0.0258713183
ADA,2020-03-16,0.0270737503,0.0262776163,0.0302584958,0.0253359863
ADA,2020-03-17,0.0237027258,0.0270733551,0.0273282355,0.0215587161
ADA,2020-03-18,0.0262999255,0.0237024908,0.0266623184,0.023618079
ADA,2020-03-19,0.0258336366,0.0262977354,0.0266397481,0.0244817235
ADA,2020-03-20,0.0316624805,0.0258337292,0.0322310778,0.02577506
ADA,2020-03-21,0.029240551,0.0316672582,0.0341367989,0.0266452531
ADA,2020-03-22,0.0296061208,0.0292428417,0.0307911754,0.0279565408
ADA,2020-03-23,0.0270707306,0.0296059388,0.0305340227,0.026906207
ADA,2020-03-24,0.0291534603,0.027059816,0.0299788946,0.0266272722
ADA,2020-03-25,0.0303195338,0.0291532922,0.0305521543,0.0288760515
ADA,2020-03-26,0.0294331252,0.0303203632,0.0305394192,0.0288787112
ADA,2020-03-27,0.0300636835,0.0295229431,0.0302336303,0.0292893465
ADA,2020-03-28,0.0302629921,0.0300631196,0.0315067931,0.029829203
ADA,2020-03-29,0.0296520859,0.0302631107,0.0302716016,0.0278923622
ADA,2020-03-30,0.0284082292,0.0296557924,0.0300739094,0.0280708988
ADA,2020-03-31,0.029878087,0.0280768436,0.0305121073,0.0280112825
ADA,2020-04-01,0.0305493227,0.0298763318,0.03070743,0.0295502958
ADA,2020-04-02,0.0303886898,0.03056728,0.0308330187,0.0294904806
ADA,2020-04-03,0.0322050491,0.0303894393,0.0335412514,0.0303894393
ADA,2020-04-04,0.032443209,0.0319067005,0.032789302,0.0316552138
ADA,2020-04-05,0.0323407756,0.0324390735,0.0327924244,0.0317752625
ADA,2020-04-06,0.0319442422,0.0325062333,0.0326274978,0.0316332926
ADA,2020-04-07,0.0352976021,0.031944279,0.0354463618,0.031914496
ADA,2020-04-08,0.0352602572,0.0352950836,0.0370100202,0.0345449146
ADA,2020-04-09,0.0366636508,0.0352608323,0.0368461049,0.0351485843
ADA,2020-04-10,0.0362437151,0.0366577935,0.0367048157,0.0352850972
ADA,2020-04-11,0.0332304977,0.0362435609,0.0362647299,0.0322633156
ADA,2020-04-12,0.0334861992,0.033262224,0.0341609568,0.0326965671
ADA,2020-04-13,0.0340657451,0.0334996269,0.0350317273,0.0329898409
ADA,2020-04-14,0.033435362,0.0340657452,0.0341973433,0.0319702597
ADA,2020-04-15,0.0331360548,0.033435362,0.0338547898,0.0327530977
ADA,2020-04-16,0.0326365662,0.0331349106,0.0337712563,0.0325124015
ADA,2020-04-17,0.0348072428,0.0318898708,0.0348967685,0.0309555907
ADA,2020-04-18,0.0344426639,0.0348066602,0.0350214993,0.0341355177
ADA,2020-04-19,0.0366799975,0.0344415253,0.037060504,0.034326796
ADA,2020-04-20,0.0359484826,0.0366807893,0.0369954994,0.0351581368
ADA,2020-04-21,0.0345686112,0.0359487588,0.0366385019,0.0338815295
ADA,2020-04-22,0.0348740894,0.0345685878,0.0350544117,0.0338315843
ADA,2020-04-23,0.0364664462,0.034874047,0.0367419072,0.0344209254
ADA,2020-04-24,0.0416808689,0.0364665045,0.0425834362,0.0364593077
ADA,2020-04-25,0.0413712096,0.0408757216,0.043982622,0.0408752325
ADA,2020-04-26,0.0421315366,0.0413706076,0.0436198272,0.0410728168
ADA,2020-04-27,0.0456220132,0.0421315037,0.0461946108,0.0419152206
ADA,2020-04-28,0.0470668285,0.0456223137,0.0476955297,0.0442983811
ADA,2020-04-29,0.0470558682,0.0465763489,0.0481375889,0.0460656711
ADA,2020-04-30,0.051389255,0.047063681,0.0521370209,0.0468860099
ADA,2020-05-01,0.0487025418,0.0513723734,0.0544791237,0.0474215711
ADA,2020-05-02,0.050880851,0.0487029772,0.0519250417,0.0471779088
ADA,2020-05-03,0.0508839162,0.0508817085,0.0516082063,0.0495593323
ADA,2020-05-04,0.0490454213,0.0510681488,0.0518691335,0.0478062977
ADA,2020-05-05,0.0494454259,0.0490527322,0.0502753074,0.0462095127
ADA,2020-05-06,0.0495540403,0.0494459298,0.0506578488,0.0487476878
ADA,2020-05-07,0.0505735908,0.0495100877,0.0512058557,0.0487348302
ADA,2020-05-08,0.051173414,0.0505722406,0.0515945949,0.0483711117
ADA,2020-05-09,0.0524832434,0.0511454272,0.0538053975,0.0509350479
ADA,2020-05-10,0.0516978669,0.0524847663,0.0532736788,0.0514042533
ADA,2020-05-11,0.0475159003,0.0516950219,0.05203609,0.042557518
ADA,2020-05-12,0.0478271928,0.047609722,0.0500414271,0.0449292172
ADA,2020-05-13,0.0503456568,0.0478250431,0.0511424299,0.0475403456
ADA,2020-05-14,0.0517102156,0.0504769262,0.0523617947,0.0496610806
ADA,2020-05-15,0.0512503292,0.0517099255,0.0520626159,0.0504362992
ADA,2020-05-16,0.0509856199,0.0509893248,0.0519772094,0.0496010185
ADA,2020-05-17,0.0509686307,0.0509814588,0.0513960485,0.049894726
ADA,2020-05-18,0.0512601723,0.0509668473,0.0522305421,0.0509031929
ADA,2020-05-19,0.0541223137,0.0512695326,0.0549388528,0.0511213513
ADA,2020-05-20,0.0567614479,0.0541158398,0.0570046194,0.052503045
ADA,2020-05-21,0.056773282,0.0567608202,0.0575821659,0.0540531157
ADA,2020-05-22,0.0527208755,0.0567720582,0.0576047216,0.050194478
ADA,2020-05-23,0.0561809487,0.0527182865,0.056968157,0.0513358401
ADA,2020-05-24,0.0552499459,0.0561809487,0.0564924371,0.054230867
ADA,2020-05-25,0.054180449,0.0552490328,0.056177054,0.0525704787
ADA,2020-05-26,0.0537600911,0.0541594012,0.0543533669,0.0510230452
ADA,2020-05-27,0.0536067378,0.0537600044,0.0541548713,0.0519497366
ADA,2020-05-28,0.0549259965,0.0536067379,0.0559253548,0.0530743202
ADA,2020-05-29,0.0642385169,0.0549256037,0.0644723414,0.0543742341
ADA,2020-05-30,0.0643482949,0.0642391037,0.0676034252,0.0625022316
ADA,2020-05-31,0.0771998785,0.0645579652,0.0774579186,0.0637655616
ADA,2020-06-01,0.0732469387,0.0772066998,0.0864819446,0.0721715727
ADA,2020-06-02,0.0819810066,0.0732388147,0.0831675699,0.0730548727
ADA,2020-06-03,0.078785032,0.0819962283,0.082418861,0.0717936301
ADA,2020-06-04,0.0852377019,0.0787850107,0.085939496,0.0772705233
ADA,2020-06-05,0.0885043095,0.0852380036,0.0903341322,0.083877459
ADA,2020-06-06,0.0855558278,0.0884938592,0.0892976041,0.0839543815
ADA,2020-06-07,0.0861853195,0.0855675228,0.0872355958,0.0847974625
ADA,2020-06-08,0.085991857,0.0861853183,0.0886379021,0.0827083465
ADA,2020-06-09,0.0863727892,0.0859788295,0.086976172,0.0846652328
ADA,2020-06-10,0.083536673,0.0863561352,0.08678588,0.0831023494
ADA,2020-06-11,0.083537095,0.0835918472,0.0839965104,0.0794945868
ADA,2020-06-12,0.0751696738,0.0835370712,0.0851612749,0.0740507155
ADA,2020-06-13,0.0791660971,0.0752153536,0.0807671479,0.0749503741
ADA,2020-06-14,0.0785819798,0.079166574,0.0795807277,0.0772989909
ADA,2020-06-15,0.0765270412,0.0785819798,0.0791678284,0.0756302899
ADA,2020-06-16,0.078788771,0.0765192673,0.079875674,0.0692755185
ADA,2020-06-17,0.0788021066,0.0787899282,0.0796201425,0.0768313039
ADA,2020-06-18,0.0834876214,0.0788020104,0.0837386227,0.0773300881
ADA,2020-06-19,0.0821363736,0.0834870421,0.0844116747,0.0799976661
ADA,2020-06-20,0.0795980948,0.0821376958,0.0822503228,0.0784499595
ADA,2020-06-21,0.0793176073,0.0796243526,0.080149759,0.0770078899
ADA,2020-06-22,0.0782555391,0.0793175685,0.0809108653,0.0781241956
ADA,2020-06-23,0.083680801,0.0782815039,0.0836835212,0.0781554906
ADA,2020-06-24,0.0828163852,0.0836869588,0.0844163574,0.0815596306
ADA,2020-06-25,0.0827929326,0.0828163849,0.0871804815,0.0799836747
ADA,2020-06-26,0.0815469399,0.08279243,0.0834598898,0.0786139301
ADA,2020-06-27,0.0806258217,0.081547158,0.0817554037,0.079488626
ADA,2020-06-28,0.0775611938,0.0806257853,0.0810101161,0.0745979496
ADA,2020-06-29,0.0799106007,0.0775611938,0.0810661757,0.0762509121
ADA,2020-06-30,0.0837658953,0.0799111198,0.0843702511,0.079878721
ADA,2020-07-01,0.0832232985,0.0837658747,0.0846769034,0.0818125461
ADA,2020-07-02,0.0929285093,0.0831092018,0.0948889046,0.0824677687
ADA,2020-07-03,0.093441327,0.0969184078,0.0969533033,0.0878007853
ADA,2020-07-04,0.0967593541,0.0930296017,0.1021165378,0.0923879298
ADA,2020-07-05,0.0985753356,0.0966282585,0.101173394,0.0960148609
ADA,2020-07-06,0.0980822276,0.1001240637,0.1001240637,0.0943333472
ADA,2020-07-07,0.1040320049,0.0982213774,0.1066480717,0.0973481135
ADA,2020-07-08,0.1180140554,0.1051481622,0.1189022878,0.1030292749
ADA,2020-07-09,0.1299562638,0.1177422262,0.1383911233,0.1151369324
ADA,2020-07-10,0.1241175978,0.1300909194,0.1300909685,0.1177997957
ADA,2020-07-11,0.1185064793,0.1239786185,0.1243275888,0.1114461385
ADA,2020-07-12,0.1257402076,0.1183483158,0.1273069189,0.11791546
ADA,2020-07-13,0.1239319339,0.1253609741,0.1274149348,0.1205492488
ADA,2020-07-14,0.1245781126,0.1269891022,0.13587885,0.1216632292
ADA,2020-07-15,0.1310235389,0.1242751702,0.1351265182,0.1211390779
ADA,2020-07-16,0.1299176408,0.1325922621,0.1327710427,0.1273278889
ADA,2020-07-17,0.1256473583,0.130576124,0.1326087799,0.1184745596
ADA,2020-07-18,0.1231292365,0.125971551,0.1266034671,0.1217101114
ADA,2020-07-19,0.1228592209,0.1222856037,0.1248623534,0.118301709
ADA,2020-07-20,0.124364311,0.1229034149,0.1245652659,0.1213951004
ADA,2020-07-21,0.1178359412,0.1240608167,0.1242832162,0.1157503929
ADA,2020-07-22,0.1233071355,0.1177614264,0.1247411422,0.116885838
ADA,2020-07-23,0.1235714257,0.1233739007,0.1239927206,0.1208100855
ADA,2020-07-24,0.1246374906,0.1240452614,0.1262429915,0.1237069487
ADA,2020-07-25,0.1215286282,0.1243961512,0.1245029581,0.1208309232
ADA,2020-07-26,0.1392125097,0.1222555483,0.1405181572,0.1221984094
ADA,2020-07-27,0.1493139549,0.1438753125,0.1547224796,0.1416129668
ADA,2020-07-28,0.1405305469,0.1486220492,0.1498976803,0.1305634999
ADA,2020-07-29,0.1498986278,0.1388692104,0.1511550275,0.1346020435
ADA,2020-07-30,0.1413886087,0.1493444896,0.1501891686,0.1402289272
ADA,2020-07-31,0.1414601184,0.1399845731,0.1428052743,0.1370862198
ADA,2020-08-01,0.1399174463,0.1407992221,0.1413674955,0.1363722936
ADA,2020-08-02,0.1443912946,0.1390877791,0.1473013911,0.1386048691
ADA,2020-08-03,0.1344561617,0.1443880904,0.1486130625,0.1280838849
ADA,2020-08-04,0.1374365006,0.1338815894,0.1394952645,0.1321812133
ADA,2020-08-05,0.1445511738,0.1377321017,0.1482953653,0.1365787543
ADA,2020-08-06,0.1417287977,0.1433811856,0.1453828888,0.1402126116
ADA,2020-08-07,0.1435736671,0.1424761544,0.1461011161,0.1400804164
ADA,2020-08-08,0.1402128257,0.1446710697,0.1476745013,0.1334627774
ADA,2020-08-09,0.1467605553,0.1391144886,0.1478845514,0.1375364711
ADA,2020-08-10,0.1448227745,0.1469971596,0.1523778366,0.142310327
ADA,2020-08-11,0.1434586016,0.1452801889,0.1465134948,0.1421033006
ADA,2020-08-12,0.1348550861,0.1440054597,0.1446165377,0.1316916347
ADA,2020-08-13,0.1366710116,0.1369521546,0.1380302398,0.1237543681
ADA,2020-08-14,0.1398455663,0.1367865885,0.1422739855,0.1320615745
ADA,2020-08-15,0.1393416547,0.139507503,0.1413710442,0.1376607835
